Date,Link,Day,Season,Team,Opp,Site,Final,Rest,Line,Total,SUm,ATSm,OUm,DPS,DPA,SUr,ATSr,OUr,"ot
Jan","07,",2015,recap,Wed,2014,Warriors,Pacers,home,117-102,1&1,-11.5,203.0,15,3.5,16.0,9.8,6.2,W,W,O,0
Feb","08,",2019,recap,Fri,2018,Nuggets,Seventysixers,away,110-117,1&2,6.0,229.5,-7,-1.0,-2.5,-1.8,-0.8,L,L,U,"0
Feb","08,",2019,recap,Fri,2018,Warriors,Suns,away,117-107,1&1,-15.5,229.5,10,-5.5,-5.5,-5.5,0.0,W,L,U,0
Feb","09,",2019,recap,Sat,2018,Celtics,Clippers,home,112-123,1&1,-11.5,228.5,-11,-22.5,6.5,-8.0,14.5,L,L,O,0
Feb","11,",2019,recap,Mon,2018,Nuggets,Heat,home,103-87,2&0,-10.5,212.0,16,5.5,-22.0,-8.2,-13.8,W,W,U,0
Feb","13,",2019,recap,Wed,2018,Raptors,Wizards,home,129-120,1&1,-9.5,233.0,9,-0.5,16.0,7.8,8.2,W,L,O,0
Feb","22,",2019,recap,Fri,2018,Magic,Bulls,home,109-110,7&8,-8.0,217.5,-1,-9.0,1.5,-3.8,5.2,L,L,O,"0
Feb","22,",2019,recap,Fri,2018,Raptors,Spurs,home,120-117,8&9,-7.5,231.0,3,-4.5,6.0,0.8,5.2,W,L,O,0
Feb","23,",2019,recap,Sat,2018,Warriors,Rockets,home,112-118,1&1,-10.0,233.5,-6,-16.0,-3.5,-9.8,6.2,L,L,U,0
Feb","24,",2019,recap,Sun,2018,Raptors,Magic,home,98-113,1&1,-7.0,216.5,-15,-22.0,-5.5,-13.8,8.2,L,L,U,0
Feb","26,",2019,recap,Tue,2018,Raptors,Celtics,home,118-95,1&2,-3.5,227.0,23,19.5,-14.0,2.8,-16.8,W,W,U,0
Mar","01,",2019,recap,Fri,2018,Raptors,Trailblazers,home,119-117,2&1,-5.0,229.5,2,-3.0,6.5,1.8,4.8,W,L,O,0
Mar","02,",2019,recap,Sat,2018,Bucks,Jazz,away,111-115,0&1,4.0,225.5,-4,0.0,0.5,0.2,0.2,L,P,O,0
Mar","03,",2019,recap,Sun,2018,Raptors,Pistons,away,107-112,1&0,-2.0,219.0,-5,-7.0,0.0,-3.5,3.5,L,L,P,1
Mar","29,",2019,recap,Fri,2018,Hornets,Lakers,away,115-129,2&1,-2.5,228.5,-14,-16.5,15.5,-0.5,16.0,L,L,O,0
Mar","31,",2019,recap,Sun,2018,Kings,Spurs,away,113-106,0&2,9.5,224.5,7,16.5,-5.5,5.5,-11.0,W,W,U,"0
Mar","31,",2019,recap,Sun,2018,Hornets,Warriors,away,90-137,1&1,12.0,228.0,-47,-35.0,-1.0,-18.0,17.0,L,L,U,0
